date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,ad_spend,conversions,CPA,revenue,ROAS,conversion_rate,high_roas_flag,profit,cost_efficiency,engagement_score,year,month,day
2024-01-21,google ads,search,fintech,uae,59886,2113,0.0353,1.26,2662.38,159,16.74,4803.43,1.8,0.07524846190250828,True,2141.05,0.05972100150992721,2113.9757999999997,2024,1,21
2024-01-22,tiktok ads,search,edtech,uk,135608,5220,0.0385,1.18,6159.6,411,14.99,64126.68,10.41,0.07873563218390804,True,57967.08,0.06672511202026105,5220.908,2024,1,22
2024-06-15,tiktok ads,video,healthcare,usa,92313,5991,0.0649,0.85,5092.35,267,19.07,10489.07,2.06,0.04456685027541312,True,5396.719999999999,0.05243158855930955,5991.1137,2024,6,15
2024-01-02,tiktok ads,shopping,saas,germany,83953,5935,0.0707,1.32,7834.2,296,26.47,50505.07,6.45,0.04987363100252738,True,42670.87,0.03778305378979347,5935.4771,2024,1,2
2024-02-22,tiktok ads,search,healthcare,uk,91807,4489,0.0489,1.93,8663.77,107,80.97,3369.53,0.39,0.02383604366228559,False,-5294.24,0.012350281690303413,4489.3623,2024,2,22
2024-10-15,tiktok ads,search,fintech,canada,17666,724,0.041,0.37,267.88,23,11.65,5220.85,19.49,0.031767955801104975,True,4952.97,0.08585934000298641,724.306,2024,10,15
2024-08-14,meta ads,video,fintech,usa,118252,3748,0.0317,0.42,1574.16,152,10.36,12838.56,8.16,0.04055496264674493,True,11264.4,0.0965594348732022,3748.5884,2024,8,14
2024-04-05,tiktok ads,search,edtech,uae,92939,5176,0.0557,0.66,3416.16,388,8.8,96298.69,28.19,0.07496136012364761,True,92882.53,0.11357781836916304,5176.7023,2024,4,5
2024-04-17,meta ads,display,edtech,germany,30939,937,0.0303,0.59,552.83,63,8.78,16531.03,29.9,0.0672358591248666,True,15978.199999999999,0.11395908326248574,937.4517000000001,2024,4,17
2024-11-13,google ads,shopping,fintech,usa,8748,362,0.0414,1.21,438.02,10,43.8,966.57,2.21,0.027624309392265192,True,528.5500000000001,0.02283000776220264,362.1672,2024,11,13
2024-04-22,meta ads,video,e-commerce,uae,98264,3144,0.032,1.56,4904.64,129,38.02,23127.27,4.72,0.04103053435114504,True,18222.63,0.026301624584067332,3144.448,2024,4,22
2024-09-11,meta ads,video,fintech,canada,173229,5092,0.0294,1.72,8758.24,65,134.74,12320.17,1.41,0.012765121759622938,False,3561.9300000000003,0.007421582418385429,5092.9326,2024,9,11
2024-05-26,meta ads,video,saas,canada,147483,2138,0.0145,0.57,1218.66,159,7.66,42434.18,34.82,0.07436856875584659,True,41215.52,0.13047117325587118,2138.5035000000003,2024,5,26
2024-02-29,google ads,shopping,saas,usa,116472,4006,0.0344,2.68,10736.08,291,36.89,78428.38,7.31,0.07264103844233649,True,67692.3,0.027104865090424066,4006.6368,2024,2,29
2024-04-22,tiktok ads,shopping,edtech,canada,37711,2111,0.056,0.68,1435.48,92,15.6,13898.86,9.68,0.04358124111795358,True,12463.380000000001,0.06409006046757879,2111.8160000000003,2024,4,22
2024-10-15,tiktok ads,shopping,e-commerce,germany,96412,7047,0.0731,1.11,7822.17,194,40.32,36717.43,4.69,0.02752944515396623,True,28895.260000000002,0.024801301940510116,7047.7172,2024,10,15
2024-08-13,tiktok ads,video,fintech,canada,184476,8854,0.048,0.35,3098.9,198,15.65,56216.92,18.14,0.022362773887508472,True,53118.02,0.06389363967859563,8854.848,2024,8,13
